pokedex_number,name,status,species,height,weight,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,generation,type_number,type_1,type_2,egg_type_number,egg_type_1,egg_type_2
1,Bulbasaur,Normal,Seed Pokémon,0.71,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45.0,70.0,64.0,Medium Slow,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,2,Grass,Poison,2,Grass,Monster
2,Ivysaur,Normal,Seed Pokémon,0.99,13.0,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45.0,70.0,142.0,Medium Slow,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,2,Grass,Poison,2,Grass,Monster
3,Venusaur,Normal,Seed Pokémon,2.01,100.0,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45.0,70.0,236.0,Medium Slow,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,2,Grass,Poison,2,Grass,Monster
3,Mega Venusaur,Normal,Seed Pokémon,2.39,155.5,1,Thick Fat,,,625,80,100,123,122,120,80,45.0,70.0,281.0,Medium Slow,87.5,20.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,2,Grass,Poison,2,Grass,Monster
4,Charmander,Normal,Lizard Pokémon,0.61,8.5,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45.0,70.0,62.0,Medium Slow,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1,1,Fire,,2,Dragon,Monster
5,Charmeleon,Normal,Flame Pokémon,1.09,19.0,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45.0,70.0,142.0,Medium Slow,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1,1,Fire,,2,Dragon,Monster
6,Charizard,Normal,Flame Pokémon,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45.0,70.0,240.0,Medium Slow,87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1,2,Fire,Flying,2,Dragon,Monster
6,Mega Charizard X,Normal,Flame Pokémon,1.7,110.5,1,Tough Claws,,,634,78,130,111,130,85,100,45.0,70.0,285.0,Medium Slow,87.5,20.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1,2,Fire,Dragon,2,Dragon,Monster
6,Mega Charizard Y,Normal,Flame Pokémon,1.7,100.5,1,Drought,,,634,78,104,78,159,115,100,45.0,70.0,285.0,Medium Slow,87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1,2,Fire,Flying,2,Dragon,Monster
7,Squirtle,Normal,Tiny Turtle Pokémon,0.51,9.0,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45.0,70.0,63.0,Medium Slow,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,1,Water,,2,Monster,Water 1
